0,0,,2022-04-27  21:14:40.507453
5,209.25,,2022-04-27  21:14:40.507695
10,0,,2022-04-27  21:14:40.507878
15,1248.42,,2022-04-27  21:14:40.507998
20,0,,2022-04-27  21:14:40.508173
25,481.33,,2022-04-27  21:14:40.508388
30,0,,2022-04-27  21:14:40.508524
35,902.5,,2022-04-27  21:14:40.508677
40,1686.0,,2022-04-27  21:14:40.508796
45,684.0,,2022-04-27  21:14:40.508910
50,654.5,,2022-04-27  21:14:40.509022
55,630.5,,2022-04-27  21:14:40.509135
60,3582.0,,2022-04-27  21:14:40.509246
65,3566.17,,2022-04-27  21:14:40.509364
70,3567.88,,2022-04-27  21:14:40.509477
75,3612.19,,2022-04-27  21:14:40.509620
80,1080.75,,2022-04-27  21:14:40.509737
85,3711.0,,2022-04-27  21:14:40.509849
90,726.0,,2022-04-27  21:14:40.509961
95,4052.08,,2022-04-27  21:14:40.510072
100,4165.62,,2022-04-27  21:14:40.510182
105,0,,2022-04-27  21:14:40.510292
110,4241.5,,2022-04-27  21:14:40.510399
115,2942.58,,2022-04-27  21:14:40.510510
120,3108.5,,2022-04-27  21:14:40.510621
125,884.38,,2022-04-27  21:14:40.510732
130,864.17,,2022-04-27  21:14:40.510845
135,808.33,,2022-04-27  21:14:40.510959
140,796.62,,2022-04-27  21:14:40.511071
145,799.0,,2022-04-27  21:14:40.511185
150,591.5,,2022-04-27  21:14:40.511299
155,599.17,,2022-04-27  21:14:40.511439
160,612.94,,2022-04-27  21:14:40.511680
165,634.0,,2022-04-27  21:14:40.511957
170,661.75,,2022-04-27  21:14:40.512296
175,0,,2022-04-27  21:14:40.512500
180,0,,2022-04-27  21:14:40.512883
185,891.56,,2022-04-27  21:14:40.513264
190,0,,2022-04-27  21:14:40.513804
195,366.5,,2022-04-27  21:14:40.513993
200,340.12,,2022-04-27  21:14:40.514369
205,316.62,,2022-04-27  21:14:40.514885
210,294.5,,2022-04-27  21:14:40.515092
215,279.92,,2022-04-27  21:14:40.515260
220,266.38,,2022-04-27  21:14:40.515595
225,255.67,,2022-04-27  21:14:40.516031
230,247.75,,2022-04-27  21:14:40.516311
235,242.5,,2022-04-27  21:14:40.516496
240,0,,2022-04-27  21:14:40.516847
245,0,,2022-04-27  21:14:40.517254
250,147.75,,2022-04-27  21:14:40.517573
255,139.56,,2022-04-27  21:14:40.517755
260,133.58,,2022-04-27  21:14:40.517875
265,131.06,,2022-04-27  21:14:40.517987
270,130.75,,2022-04-27  21:14:40.518164
275,132.38,,2022-04-27  21:14:40.518311
280,0,,2022-04-27  21:14:40.518428
285,0,,2022-04-27  21:14:40.518625
290,0,,2022-04-27  21:14:40.518748
295,0,,2022-04-27  21:14:40.518884
300,280.88,,2022-04-27  21:14:40.519011
305,266.5,,2022-04-27  21:14:40.519196
310,251.69,,2022-04-27  21:14:40.519436
315,243.0,,2022-04-27  21:14:40.519631
320,236.75,,2022-04-27  21:14:40.520134
325,230.25,,2022-04-27  21:14:40.520569
330,226.88,,2022-04-27  21:14:40.520777
335,177.75,,2022-04-27  21:14:40.521083
340,172.25,,2022-04-27  21:14:40.521431
345,0,,2022-04-27  21:14:40.521828
350,0,,2022-04-27  21:14:40.522007
355,0,,2022-04-27  21:14:40.522162
360,0,,2022-04-27  21:14:40.522569
0,0,,2022-04-27  21:14:40.774466
5,209.25,,2022-04-27  21:14:40.774675
10,0,,2022-04-27  21:14:40.774841
15,1248.42,,2022-04-27  21:14:40.774978
20,1228.0,,2022-04-27  21:14:40.775116
25,481.25,,2022-04-27  21:14:40.775253
30,0,,2022-04-27  21:14:40.775389
35,902.75,,2022-04-27  21:14:40.775513
40,1685.5,,2022-04-27  21:14:40.775643
45,683.5,,2022-04-27  21:14:40.775786
50,654.75,,2022-04-27  21:14:40.775935
55,630.5,,2022-04-27  21:14:40.776072
60,3583.25,,2022-04-27  21:14:40.776201
65,3569.17,,2022-04-27  21:14:40.776328
70,3571.69,,2022-04-27  21:14:40.776461
75,3608.38,,2022-04-27  21:14:40.776589
80,1080.25,,2022-04-27  21:14:40.776702
85,3712.25,,2022-04-27  21:14:40.776815
90,725.88,,2022-04-27  21:14:40.776944
95,4032.5,,2022-04-27  21:14:40.777054
100,4170.88,,2022-04-27  21:14:40.777172
105,0,,2022-04-27  21:14:40.777299
110,4253.0,,2022-04-27  21:14:40.777421
115,2945.5,,2022-04-27  21:14:40.777550
120,3005.0,,2022-04-27  21:14:40.777673
125,885.5,,2022-04-27  21:14:40.777793
130,851.5,,2022-04-27  21:14:40.777915
135,810.08,,2022-04-27  21:14:40.778041
